startDate,endDate,total
2024-09-16T00:00:00.000Z,2024-09-22T23:59:59.999Z,5432491
2024-09-23T00:00:00.000Z,2024-09-29T23:59:59.999Z,10099366
2024-09-30T00:00:00.000Z,2024-10-06T23:59:59.999Z,13505858
2024-10-07T00:00:00.000Z,2024-10-13T23:59:59.999Z,12532699
2024-10-14T00:00:00.000Z,2024-10-20T23:59:59.999Z,9942433
2024-10-21T00:00:00.000Z,2024-10-27T23:59:59.999Z,14734550
2024-10-28T00:00:00.000Z,2024-11-03T23:59:59.999Z,15295406
2024-11-04T00:00:00.000Z,2024-11-10T23:59:59.999Z,14546358
2024-11-11T00:00:00.000Z,2024-11-17T23:59:59.999Z,15801087
2024-11-18T00:00:00.000Z,2024-11-24T23:59:59.999Z,13055756
2024-11-25T00:00:00.000Z,2024-12-01T23:59:59.999Z,14382061
2024-12-02T00:00:00.000Z,2024-12-08T23:59:59.999Z,12510077
2024-12-09T00:00:00.000Z,2024-12-15T23:59:59.999Z,19107036
2024-12-16T00:00:00.000Z,2024-12-22T23:59:59.999Z,21066549
2024-12-23T00:00:00.000Z,2024-12-29T23:59:59.999Z,21790141
2024-12-30T00:00:00.000Z,2025-01-05T23:59:59.999Z,26050695
